"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2021","11.40","11.30","11.60","11.00","16.20K","0.88%"
"07/08/2021","11.30","11.30","11.40","11.30","22.32K","0.89%"
"07/07/2021","11.20","11.20","11.30","11.20","18.06K","0.00%"
"07/06/2021","11.20","11.00","11.20","11.00","70.23K","1.82%"
"07/05/2021","11.00","11.00","11.00","10.80","8.91K","0.00%"
"07/02/2021","11.00","11.00","11.00","10.90","4.61K","-1.79%"
"07/01/2021","11.20","11.10","11.20","11.00","10.49K","0.90%"
"06/30/2021","11.10","11.20","11.20","11.00","0.63K","-1.77%"
"06/29/2021","11.30","11.30","11.30","11.00","3.09K","0.00%"
"06/28/2021","11.30","11.10","11.30","11.10","2.61K","2.73%"
"06/25/2021","11.00","11.30","11.30","11.00","15.77K","-1.79%"
"06/23/2021","11.20","11.40","11.40","11.00","46.62K","-1.75%"
"06/22/2021","11.40","11.50","11.50","11.00","21.01K","0.00%"
"06/21/2021","11.40","11.40","11.50","11.40","5.21K","0.00%"
"06/18/2021","11.40","11.40","11.40","11.00","8.93K","0.88%"
"06/17/2021","11.30","11.30","11.30","11.00","59.01K","-1.74%"
"06/16/2021","11.50","11.40","11.50","11.20","14.39K","1.77%"
"06/15/2021","11.30","11.40","11.40","11.10","9.35K","0.00%"
"06/14/2021","11.30","11.40","11.40","11.00","10.58K","-0.88%"
"06/11/2021","11.40","11.50","11.50","11.20","1.98K","0.00%"
"06/10/2021","11.40","11.50","11.50","11.20","3.72K","0.00%"
"06/09/2021","11.40","11.50","11.50","11.00","16.71K","0.00%"
"06/08/2021","11.40","11.40","11.40","11.10","5.06K","0.00%"
"06/07/2021","11.40","11.50","11.50","11.20","8.40K","-0.87%"
"06/04/2021","11.50","11.50","11.50","11.10","5.98K","3.60%"
"06/03/2021","11.10","11.30","11.30","11.00","25.92K","-1.77%"
"06/02/2021","11.30","11.60","11.60","11.00","163.21K","0.89%"
"06/01/2021","11.20","11.20","11.20","11.10","66.11K","-4.27%"
"05/31/2021","11.70","11.20","11.70","11.10","64.33K","0.86%"
"05/28/2021","11.60","11.70","11.70","11.50","3.41K","0.87%"
"05/25/2021","11.50","11.40","11.50","11.40","6.90K","0.88%"
"05/24/2021","11.40","11.40","11.40","11.00","23.06K","0.00%"
"05/21/2021","11.40","11.30","11.40","11.10","3.91K","-0.87%"
"05/20/2021","11.50","11.50","11.50","11.40","41.31K","0.00%"
"05/19/2021","11.50","11.60","11.70","11.50","30.45K","-0.86%"
"05/18/2021","11.60","11.70","12.00","11.50","50.71K","1.75%"
"05/17/2021","11.40","11.10","11.50","11.00","104.36K","0.00%"
"05/13/2021","11.40","12.00","12.00","11.10","6.23K","-0.87%"
"05/12/2021","11.50","11.50","11.70","11.50","66.45K","0.00%"
"05/11/2021","11.50","11.60","11.60","11.50","6.18K","-0.86%"
"05/10/2021","11.60","11.80","11.80","11.60","1.51K","-2.52%"
"05/07/2021","11.90","11.50","11.90","11.50","1.65K","0.85%"
"05/06/2021","11.80","11.60","11.80","11.40","0.40K","2.61%"
